pair_id,first_die,second_die,first_syllable,second_syllable,label,outcome,advice,remedy_note,notes
1,1,1,A,A,A–A,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
2,1,2,A,RA,A–RA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
3,1,3,A,PA,A–PA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
4,1,4,A,TSA,A–TSA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
5,1,5,A,NA,A–NA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
6,1,6,A,DHI,A–DHI,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
7,2,1,RA,A,RA–A,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
8,2,2,RA,RA,RA–RA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
9,2,3,RA,PA,RA–PA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
10,2,4,RA,TSA,RA–TSA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
11,2,5,RA,NA,RA–NA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
12,2,6,RA,DHI,RA–DHI,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
13,3,1,PA,A,PA–A,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
14,3,2,PA,RA,PA–RA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
15,3,3,PA,PA,PA–PA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
16,3,4,PA,TSA,PA–TSA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
17,3,5,PA,NA,PA–NA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
18,3,6,PA,DHI,PA–DHI,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
19,4,1,TSA,A,TSA–A,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
20,4,2,TSA,RA,TSA–RA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
21,4,3,TSA,PA,TSA–PA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
22,4,4,TSA,TSA,TSA–TSA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
23,4,5,TSA,NA,TSA–NA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
24,4,6,TSA,DHI,TSA–DHI,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
25,5,1,NA,A,NA–A,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
26,5,2,NA,RA,NA–RA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
27,5,3,NA,PA,NA–PA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
28,5,4,NA,TSA,NA–TSA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
29,5,5,NA,NA,NA–NA,,,,"Edit with lineage-specific wording. Mapping assumed: 1:A, 2:RA, 3:PA, 4:TSA, 5:NA, 6:DHI."
